id,name,types,description,filename,tokens,lemmas,pos_tags,proper_nouns,named_entities
11,metapod,['bug'],"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",0011_metapod.txt,"['this', 'pokémon', 'is', 'vulnerable', 'to', 'attack', 'while', 'its', 'shell', 'is', 'soft', 'exposing', 'its', 'weak', 'and', 'tender', 'body']","['this', 'pokémon', 'be', 'vulnerable', 'to', 'attack', 'while', 'its', 'shell', 'be', 'soft', 'expose', 'its', 'weak', 'and', 'tender', 'body']","[('this', 'DT', 'determiner'), ('pokémon', 'NN', 'noun, singular or mass'), ('is', 'VBZ', 'verb, 3rd person singular present'), ('vulnerable', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('to', 'IN', 'conjunction, subordinating or preposition'), ('attack', 'NN', 'noun, singular or mass'), ('while', 'IN', 'conjunction, subordinating or preposition'), ('its', 'PRP$', 'pronoun, possessive'), ('shell', 'NN', 'noun, singular or mass'), ('is', 'VBZ', 'verb, 3rd person singular present'), ('soft', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('exposing', 'VBG', 'verb, gerund or present participle'), ('its', 'PRP$', 'pronoun, possessive'), ('weak', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('and', 'CC', 'conjunction, coordinating'), ('tender', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('body', 'NN', 'noun, singular or mass')]",[],[]
12,butterfree,"['bug', 'flying']","In battle, it flaps its wings at high speed to release highly toxic dust into the air.",0012_butterfree.txt,"['in', 'battle', 'it', 'flaps', 'its', 'wings', 'at', 'high', 'speed', 'to', 'release', 'highly', 'toxic', 'dust', 'into', 'the', 'air']","['in', 'battle', 'it', 'flap', 'its', 'wing', 'at', 'high', 'speed', 'to', 'release', 'highly', 'toxic', 'dust', 'into', 'the', 'air']","[('in', 'IN', 'conjunction, subordinating or preposition'), ('battle', 'NN', 'noun, singular or mass'), ('it', 'PRP', 'pronoun, personal'), ('flaps', 'VBZ', 'verb, 3rd person singular present'), ('its', 'PRP$', 'pronoun, possessive'), ('wings', 'NNS', 'noun, plural'), ('at', 'IN', 'conjunction, subordinating or preposition'), ('high', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('speed', 'NN', 'noun, singular or mass'), ('to', 'TO', 'infinitival ""to""'), ('release', 'VB', 'verb, base form'), ('highly', 'RB', 'adverb'), ('toxic', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('dust', 'NN', 'noun, singular or mass'), ('into', 'IN', 'conjunction, subordinating or preposition'), ('the', 'DT', 'determiner'), ('air', 'NN', 'noun, singular or mass')]",[],[]
13,weedle,"['bug', 'poison']","Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",0013_weedle.txt,"['often', 'found', 'in', 'forests', 'eating', 'leaves', 'it', 'has', 'a', 'sharp', 'venomous', 'stinger', 'on', 'its', 'head']","['often', 'find', 'in', 'forest', 'eat', 'leave', 'it', 'have', 'a', 'sharp', 'venomous', 'stinger', 'on', 'its', 'head']","[('often', 'RB', 'adverb'), ('found', 'VBN', 'verb, past participle'), ('in', 'IN', 'conjunction, subordinating or preposition'), ('forests', 'NNS', 'noun, plural'), ('eating', 'VBG', 'verb, gerund or present participle'), ('leaves', 'NNS', 'noun, plural'), ('it', 'PRP', 'pronoun, personal'), ('has', 'VBZ', 'verb, 3rd person singular present'), ('a', 'DT', 'determiner'), ('sharp', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('venomous', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('stinger', 'NN', 'noun, singular or mass'), ('on', 'IN', 'conjunction, subordinating or preposition'), ('its', 'PRP$', 'pronoun, possessive'), ('head', 'NN', 'noun, singular or mass')]",[],[]
14,kakuna,"['bug', 'poison']","Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",0014_kakuna.txt,"['almost', 'incapable', 'of', 'moving', 'this', 'pokémon', 'can', 'only', 'harden', 'its', 'shell', 'to', 'protect', 'itself', 'from', 'predators']","['almost', 'incapable', 'of', 'move', 'this', 'pokémon', 'can', 'only', 'harden', 'its', 'shell', 'to', 'protect', 'itself', 'from', 'predator']","[('almost', 'RB', 'adverb'), ('incapable', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('of', 'IN', 'conjunction, subordinating or preposition'), ('moving', 'VBG', 'verb, gerund or present participle'), ('this', 'DT', 'determiner'), ('pokémon', 'NN', 'noun, singular or mass'), ('can', 'MD', 'verb, modal auxiliary'), ('only', 'RB', 'adverb'), ('harden', 'VB', 'verb, base form'), ('its', 'PRP$', 'pronoun, possessive'), ('shell', 'NN', 'noun, singular or mass'), ('to', 'TO', 'infinitival ""to""'), ('protect', 'VB', 'verb, base form'), ('itself', 'PRP', 'pronoun, personal'), ('from', 'IN', 'conjunction, subordinating or preposition'), ('predators', 'NNS', 'noun, plural')]",[],[]
15,beedrill,"['bug', 'poison']",It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,0015_beedrill.txt,"['it', 'has', 'three', 'poisonous', 'stingers', 'on', 'its', 'forelegs', 'and', 'its', 'tail', 'they', 'are', 'used', 'to', 'jab', 'its', 'enemy', 'repeatedly']","['it', 'have', 'three', 'poisonous', 'stinger', 'on', 'its', 'foreleg', 'and', 'its', 'tail', 'they', 'be', 'use', 'to', 'jab', 'its', 'enemy', 'repeatedly']","[('it', 'PRP', 'pronoun, personal'), ('has', 'VBZ', 'verb, 3rd person singular present'), ('three', 'CD', 'cardinal number'), ('poisonous', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('stingers', 'NNS', 'noun, plural'), ('on', 'IN', 'conjunction, subordinating or preposition'), ('its', 'PRP$', 'pronoun, possessive'), ('forelegs', 'NNS', 'noun, plural'), ('and', 'CC', 'conjunction, coordinating'), ('its', 'PRP$', 'pronoun, possessive'), ('tail', 'NN', 'noun, singular or mass'), ('they', 'PRP', 'pronoun, personal'), ('are', 'VBP', 'verb, non-3rd person singular present'), ('used', 'VBN', 'verb, past participle'), ('to', 'TO', 'infinitival ""to""'), ('jab', 'VB', 'verb, base form'), ('its', 'PRP$', 'pronoun, possessive'), ('enemy', 'NN', 'noun, singular or mass'), ('repeatedly', 'RB', 'adverb')]",[],"[('three', 'CARDINAL')]"
16,pidgey,"['normal', 'flying']",A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,0016_pidgey.txt,"['a', 'common', 'sight', 'in', 'forests', 'and', 'woods', 'it', 'flaps', 'its', 'wings', 'at', 'ground', 'level', 'to', 'kick', 'up', 'blinding', 'sand']","['a', 'common', 'sight', 'in', 'forest', 'and', 'wood', 'it', 'flap', 'its', 'wing', 'at', 'ground', 'level', 'to', 'kick', 'up', 'blind', 'sand']","[('a', 'DT', 'determiner'), ('common', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('sight', 'NN', 'noun, singular or mass'), ('in', 'IN', 'conjunction, subordinating or preposition'), ('forests', 'NNS', 'noun, plural'), ('and', 'CC', 'conjunction, coordinating'), ('woods', 'NNS', 'noun, plural'), ('it', 'PRP', 'pronoun, personal'), ('flaps', 'VBZ', 'verb, 3rd person singular present'), ('its', 'PRP$', 'pronoun, possessive'), ('wings', 'NNS', 'noun, plural'), ('at', 'IN', 'conjunction, subordinating or preposition'), ('ground', 'NN', 'noun, singular or mass'), ('level', 'NN', 'noun, singular or mass'), ('to', 'TO', 'infinitival ""to""'), ('kick', 'VB', 'verb, base form'), ('up', 'RP', 'adverb, particle'), ('blinding', 'VBG', 'verb, gerund or present participle'), ('sand', 'NN', 'noun, singular or mass')]",[],[]
17,pidgeotto,"['normal', 'flying']","Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.",0017_pidgeotto.txt,"['very', 'protective', 'of', 'its', 'sprawling', 'territorial', 'area', 'this', 'pokémon', 'will', 'fiercely', 'peck', 'at', 'any', 'intruder']","['very', 'protective', 'of', 'its', 'sprawling', 'territorial', 'area', 'this', 'pokémon', 'will', 'fiercely', 'peck', 'at', 'any', 'intruder']","[('very', 'RB', 'adverb'), ('protective', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('of', 'IN', 'conjunction, subordinating or preposition'), ('its', 'PRP$', 'pronoun, possessive'), ('sprawling', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('territorial', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('area', 'NN', 'noun, singular or mass'), ('this', 'DT', 'determiner'), ('pokémon', 'NN', 'noun, singular or mass'), ('will', 'MD', 'verb, modal auxiliary'), ('fiercely', 'RB', 'adverb'), ('peck', 'VB', 'verb, base form'), ('at', 'IN', 'conjunction, subordinating or preposition'), ('any', 'DT', 'determiner'), ('intruder', 'NN', 'noun, singular or mass')]",[],[]
18,pidgeot,"['normal', 'flying']","When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",0018_pidgeot.txt,"['when', 'hunting', 'it', 'skims', 'the', 'surface', 'of', 'water', 'at', 'high', 'speed', 'to', 'pick', 'off', 'unwary', 'prey', 'such', 'as', 'magikarp']","['when', 'hunt', 'it', 'skim', 'the', 'surface', 'of', 'water', 'at', 'high', 'speed', 'to', 'pick', 'off', 'unwary', 'prey', 'such', 'as', 'magikarp']","[('when', 'WRB', 'wh-adverb'), ('hunting', 'VBG', 'verb, gerund or present participle'), ('it', 'PRP', 'pronoun, personal'), ('skims', 'VBZ', 'verb, 3rd person singular present'), ('the', 'DT', 'determiner'), ('surface', 'NN', 'noun, singular or mass'), ('of', 'IN', 'conjunction, subordinating or preposition'), ('water', 'NN', 'noun, singular or mass'), ('at', 'IN', 'conjunction, subordinating or preposition'), ('high', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('speed', 'NN', 'noun, singular or mass'), ('to', 'TO', 'infinitival ""to""'), ('pick', 'VB', 'verb, base form'), ('off', 'RP', 'adverb, particle'), ('unwary', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('prey', 'NN', 'noun, singular or mass'), ('such', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('as', 'IN', 'conjunction, subordinating or preposition'), ('magikarp', 'NN', 'noun, singular or mass')]",[],[]
19,rattata,['normal'],"Bites anything when it attacks. Small and very quick, it is a common sight in many places.",0019_rattata.txt,"['bites', 'anything', 'when', 'it', 'attacks', 'small', 'and', 'very', 'quick', 'it', 'is', 'a', 'common', 'sight', 'in', 'many', 'places']","['bite', 'anything', 'when', 'it', 'attack', 'small', 'and', 'very', 'quick', 'it', 'be', 'a', 'common', 'sight', 'in', 'many', 'place']","[('bites', 'VBZ', 'verb, 3rd person singular present'), ('anything', 'NN', 'noun, singular or mass'), ('when', 'WRB', 'wh-adverb'), ('it', 'PRP', 'pronoun, personal'), ('attacks', 'VBZ', 'verb, 3rd person singular present'), ('small', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('and', 'CC', 'conjunction, coordinating'), ('very', 'RB', 'adverb'), ('quick', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('it', 'PRP', 'pronoun, personal'), ('is', 'VBZ', 'verb, 3rd person singular present'), ('a', 'DT', 'determiner'), ('common', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('sight', 'NN', 'noun, singular or mass'), ('in', 'IN', 'conjunction, subordinating or preposition'), ('many', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('places', 'NNS', 'noun, plural')]",[],[]
20,raticate,['normal'],It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.,0020_raticate.txt,"['it', 'uses', 'its', 'whis', 'kers', 'to', 'maintain', 'its', 'balance', 'it', 'apparently', 'slows', 'down', 'if', 'they', 'are', 'cut', 'off']","['it', 'use', 'its', 'whis', 'ker', 'to', 'maintain', 'its', 'balance', 'it', 'apparently', 'slow', 'down', 'if', 'they', 'be', 'cut', 'off']","[('it', 'PRP', 'pronoun, personal'), ('uses', 'VBZ', 'verb, 3rd person singular present'), ('its', 'PRP$', 'pronoun, possessive'), ('whis', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('kers', 'NNS', 'noun, plural'), ('to', 'TO', 'infinitival ""to""'), ('maintain', 'VB', 'verb, base form'), ('its', 'PRP$', 'pronoun, possessive'), ('balance', 'NN', 'noun, singular or mass'), ('it', 'PRP', 'pronoun, personal'), ('apparently', 'RB', 'adverb'), ('slows', 'VBZ', 'verb, 3rd person singular present'), ('down', 'RP', 'adverb, particle'), ('if', 'IN', 'conjunction, subordinating or preposition'), ('they', 'PRP', 'pronoun, personal'), ('are', 'VBP', 'verb, non-3rd person singular present'), ('cut', 'VBN', 'verb, past participle'), ('off', 'RP', 'adverb, particle')]",[],[]
21,spearow,"['normal', 'flying']","It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.",0021_spearow.txt,"['it', 'flaps', 'its', 'small', 'wings', 'busily', 'to', 'fly', 'using', 'its', 'beak', 'it', 'searches', 'in', 'grass', 'for', 'prey']","['it', 'flap', 'its', 'small', 'wing', 'busily', 'to', 'fly', 'use', 'its', 'beak', 'it', 'search', 'in', 'grass', 'for', 'prey']","[('it', 'PRP', 'pronoun, personal'), ('flaps', 'VBZ', 'verb, 3rd person singular present'), ('its', 'PRP$', 'pronoun, possessive'), ('small', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('wings', 'NNS', 'noun, plural'), ('busily', 'RB', 'adverb'), ('to', 'TO', 'infinitival ""to""'), ('fly', 'VB', 'verb, base form'), ('using', 'VBG', 'verb, gerund or present participle'), ('its', 'PRP$', 'pronoun, possessive'), ('beak', 'NN', 'noun, singular or mass'), ('it', 'PRP', 'pronoun, personal'), ('searches', 'VBZ', 'verb, 3rd person singular present'), ('in', 'IN', 'conjunction, subordinating or preposition'), ('grass', 'NN', 'noun, singular or mass'), ('for', 'IN', 'conjunction, subordinating or preposition'), ('prey', 'NNP', 'noun, proper singular')]",['prey'],[]
22,fearow,"['normal', 'flying']","With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",0022_fearow.txt,"['with', 'its', 'huge', 'and', 'magnificent', 'wings', 'it', 'can', 'keep', 'aloft', 'without', 'ever', 'having', 'to', 'land', 'for', 'rest']","['with', 'its', 'huge', 'and', 'magnificent', 'wing', 'it', 'can', 'keep', 'aloft', 'without', 'ever', 'have', 'to', 'land', 'for', 'rest']","[('with', 'IN', 'conjunction, subordinating or preposition'), ('its', 'PRP$', 'pronoun, possessive'), ('huge', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('and', 'CC', 'conjunction, coordinating'), ('magnificent', 'JJ', 'adjective (English), other noun-modifier (Chinese)'), ('wings', 'NNS', 'noun, plural'), ('it', 'PRP', 'pronoun, personal'), ('can', 'MD', 'verb, modal auxiliary'), ('keep', 'VB', 'verb, base form'), ('aloft', 'RB', 'adverb'), ('without', 'IN', 'conjunction, subordinating or preposition'), ('ever', 'RB', 'adverb'), ('having', 'VBG', 'verb, gerund or present participle'), ('to', 'TO', 'infinitival ""to""'), ('land', 'VB', 'verb, base form'), ('for', 'IN', 'conjunction, subordinating or preposition'), ('rest', 'NN', 'noun, singular or mass')]",[],[]
